"GEO_ID","NAME","B25001_001M","B25001_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"310M100US10140","Aberdeen, WA Micro Area","446","35179",
"310M100US10180","Abilene, TX Metro Area","1296","69711",
"310M100US10300","Adrian, MI Micro Area","701","43445",
"310M100US10380","Aguadilla-Isabela-San Sebasti?n, PR Metro Area","2349","143248",
"310M100US10420","Akron, OH Metro Area","1589","312600",
"310M100US10500","Albany, GA Metro Area","2099","67169",
"310M100US10540","Albany-Lebanon, OR Micro Area","168","48840",
"310M100US10580","Albany-Schenectady-Troy, NY Metro Area","1952","393443",
"310M100US10700","Albertville, AL Micro Area","403","40345",
"310M100US10740","Albuquerque, NM Metro Area","1812","374674",
"310M100US10780","Alexandria, LA Metro Area","2078","65195",
"310M100US10880","Allegan, MI Micro Area","304","49435",
"310M100US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","3627","342432",
"310M100US11020","Altoona, PA Metro Area","667","56277",
"310M100US11100","Amarillo, TX Metro Area","1077","103039",
"310M100US11180","Ames, IA Metro Area","827","36801",
"310M100US11260","Anchorage, AK Metro Area","1153","154449",
"310M100US11300","Anderson, IN Metro Area","630","59054",
"310M100US11340","Anderson, SC Metro Area","1547","84786",
"310M100US11460","Ann Arbor, MI Metro Area","2029","147565",
"310M100US11500","Anniston-Oxford, AL Metro Area","960","53321",
"310M100US11540","Appleton, WI Metro Area","614","92928",
"310M100US11700","Asheville, NC Metro Area","1589","213900",
"310M100US11780","Ashtabula, OH Micro Area","346","46089",
"310M100US11980","Athens, TX Micro Area","277","39615",
"310M100US12020","Athens-Clarke County, GA Metro Area","2387","80741",
"310M100US12060","Atlanta-Sandy Springs-Marietta, GA Metro Area","4582","2168806",
"310M100US12100","Atlantic City-Hammonton, NJ Metro Area","861","126723",
"310M100US12180","Auburn, NY Micro Area","573","36478",
"310M100US12220","Auburn-Opelika, AL Metro Area","728","62660",
"310M100US12260","Augusta-Richmond County, GA-SC Metro Area","2783","238681",
"310M100US12300","Augusta-Waterville, ME Micro Area","505","61015",
"310M100US12420","Austin-Round Rock-San Marcos, TX Metro Area","4524","708643",
"310M100US12540","Bakersfield-Delano, CA Metro Area","1213","284674",
"310M100US12580","Baltimore-Towson, MD Metro Area","2123","1133012",
"310M100US12620","Bangor, ME Metro Area","847","73909",
"310M100US12700","Barnstable Town, MA Metro Area","787","160313",
"310M100US12940","Baton Rouge, LA Metro Area","2263","331391",
"310M100US12980","Battle Creek, MI Metro Area","719","61009",
"310M100US13020","Bay City, MI Metro Area","576","48200",
"310M100US13140","Beaumont-Port Arthur, TX Metro Area","2525","163179",
"310M100US13180","Beaver Dam, WI Micro Area","1853","36985",
"310M100US13220","Beckley, WV Micro Area","698","35956",
"310M100US13380","Bellingham, WA Metro Area","875","90728",
"310M100US13460","Bend, OR Metro Area","323","80187",
"310M100US13740","Billings, MT Metro Area","1526","70567",
"310M100US13780","Binghamton, NY Metro Area","1231","112753",
"310M100US13820","Birmingham-Hoover, AL Metro Area","1931","502776",
"310M100US13900","Bismarck, ND Metro Area","528","47945",
"310M100US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","2327","69941",
"310M100US14020","Bloomington, IN Metro Area","1628","83876",
"310M100US14060","Bloomington-Normal, IL Metro Area","923","69749",
"310M100US14100","Bloomsburg-Berwick, PA Micro Area","911","37521",
"310M100US14140","Bluefield, WV-VA Micro Area","699","50951",
"310M100US14260","Boise City-Nampa, ID Metro Area","1787","246324",
"310M100US14460","Boston-Cambridge-Quincy, MA-NH Metro Area","2881","1883591",
"310M100US14500","Boulder, CO Metro Area","1807","127115",
"310M100US14540","Bowling Green, KY Metro Area","804","53998",
"310M100US14580","Bozeman, MT Micro Area","1354","41330",
"310M100US14660","Brainerd, MN Micro Area","614","65143",
"310M100US14700","Branson, MO Micro Area","962","48676",
"310M100US14740","Bremerton-Silverdale, WA Metro Area","2281","107465",
"310M100US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","1420","361355",
"310M100US15180","Brownsville-Harlingen, TX Metro Area","571","142168",
"310M100US15260","Brunswick, GA Metro Area","1722","57505",
"310M100US15380","Buffalo-Niagara Falls, NY Metro Area","1923","519128",
"310M100US15500","Burlington, NC Metro Area","888","66672",
"310M100US15540","Burlington-South Burlington, VT Metro Area","839","92323",
"310M100US15940","Canton-Massillon, OH Metro Area","1404","178849",
"310M100US15980","Cape Coral-Fort Myers, FL Metro Area","1268","371145",
"310M100US16020","Cape Girardeau-Jackson, MO-IL Metro Area","1148","41928",
"310M100US16180","Carson City, NV Metro Area","633","23529",
"310M100US16220","Casper, WY Metro Area","327","33892",
"310M100US16300","Cedar Rapids, IA Metro Area","1009","112481",
"310M100US16500","Centralia, WA Micro Area","314","34081",
"310M100US16540","Chambersburg, PA Micro Area","703","63324",
"310M100US16580","Champaign-Urbana, IL Metro Area","2928","101358",
"310M100US16620","Charleston, WV Metro Area","1204","141910",
"310M100US16700","Charleston-North Charleston-Summerville, SC Metro Area","1353","299134",
"310M100US16740","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","2128","741184",
"310M100US16820","Charlottesville, VA Metro Area","3479","89335",
"310M100US16860","Chattanooga, TN-GA Metro Area","1872","234356",
"310M100US16940","Cheyenne, WY Metro Area","384","40536",
"310M100US16980","Chicago-Joliet-Naperville, IL-IN-WI Metro Area","3851","3796750",
"310M100US17020","Chico, CA Metro Area","972","95867",
"310M100US17060","Chillicothe, OH Micro Area","401","32150",
"310M100US17140","Cincinnati-Middletown, OH-KY-IN Metro Area","3400","918007",
"310M100US17220","Clarksburg, WV Micro Area","1193","42134",
"310M100US17300","Clarksville, TN-KY Metro Area","2990","114033",
"310M100US17340","Clearlake, CA Micro Area","17","35481",
"310M100US17420","Cleveland, TN Metro Area","1130","49485",
"310M100US17460","Cleveland-Elyria-Mentor, OH Metro Area","3149","955798",
"310M100US17620","Coamo, PR Micro Area","1083","30967",
"310M100US17660","Coeur d'Alene, ID Metro Area","32","63348",
"310M100US17780","College Station-Bryan, TX Metro Area","1828","94350",
"310M100US17820","Colorado Springs, CO Metro Area","1135","264602",
"310M100US17860","Columbia, MO Metro Area","1225","73649",
"310M100US17900","Columbia, SC Metro Area","2433","331865",
"310M100US17940","Columbia, TN Micro Area","486","35305",
"310M100US17980","Columbus, GA-AL Metro Area","2729","127486",
"310M100US18020","Columbus, IN Metro Area","726","33105",
"310M100US18140","Columbus, OH Metro Area","2418","793030",
"310M100US18180","Concord, NH Micro Area","944","63557",
"310M100US18260","Cookeville, TN Micro Area","1782","47941",
"310M100US18300","Coos Bay, OR Micro Area","1579","30189",
"310M100US18500","Corning, NY Micro Area","497","48861",
"310M100US18580","Corpus Christi, TX Metro Area","1530","183364",
"310M100US18700","Corvallis, OR Metro Area","642","36258",
"310M100US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","874","92476",
"310M100US18980","Cullman, AL Micro Area","416","37059",
"310M100US19060","Cumberland, MD-WV Metro Area","997","46374",
"310M100US19100","Dallas-Fort Worth-Arlington, TX Metro Area","4267","2507538",
"310M100US19140","Dalton, GA Metro Area","1187","55876",
"310M100US19180","Danville, IL Metro Area","374","36304",
"310M100US19260","Danville, VA Metro Area","1353","53745",
"310M100US19300","Daphne-Fairhope-Foley, AL Micro Area","491","104249",
"310M100US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","1704","167257",
"310M100US19380","Dayton, OH Metro Area","2720","385208",
"310M100US19460","Decatur, AL Metro Area","736","66441",
"310M100US19500","Decatur, IL Metro Area","713","50471",
"310M100US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","1852","254277",
"310M100US19740","Denver-Aurora-Broomfield, CO Metro Area","2589","1079346",
"310M100US19780","Des Moines-West Des Moines, IA Metro Area","1455","240540",
"310M100US19820","Detroit-Warren-Livonia, MI Metro Area","1849","1885948",
"310M100US20020","Dothan, AL Metro Area","522","66966",
"310M100US20100","Dover, DE Metro Area","573","65484",
"310M100US20180","DuBois, PA Micro Area","407","38642",
"310M100US20220","Dubuque, IA Metro Area","1173","39028",
"310M100US20260","Duluth, MN-WI Metro Area","1662","142401",
"310M100US20380","Dunn, NC Micro Area","808","46879",
"310M100US20500","Durham-Chapel Hill, NC Metro Area","2103","223315",
"310M100US20620","East Liverpool-Salem, OH Micro Area","809","47067",
"310M100US20700","East Stroudsburg, PA Micro Area","1079","80388",
"310M100US20740","Eau Claire, WI Metro Area","1301","69388",
"310M100US20940","El Centro, CA Metro Area","486","56090",
"310M100US21060","Elizabethtown, KY Metro Area","2158","49885",
"310M100US21140","Elkhart-Goshen, IN Metro Area","485","77775",
"310M100US21300","Elmira, NY Metro Area","1234","38361",
"310M100US21340","El Paso, TX Metro Area","1302","270989",
"310M100US21460","Enterprise-Ozark, AL Micro Area","417","45068",
"310M100US21500","Erie, PA Metro Area","879","119194",
"310M100US21660","Eugene-Springfield, OR Metro Area","1661","156175",
"310M100US21700","Eureka-Arcata-Fortuna, CA Micro Area","1024","61555",
"310M100US21780","Evansville, IN-KY Metro Area","1287","159372",
"310M100US21820","Fairbanks, AK Metro Area","930","41780",
"310M100US21940","Fajardo, PR Metro Area","1223","39101",
"310M100US22020","Fargo, ND-MN Metro Area","947","91883",
"310M100US22100","Farmington, MO Micro Area","1065","28500",
"310M100US22140","Farmington, NM Metro Area","449","49380",
"310M100US22180","Fayetteville, NC Metro Area","2962","154309",
"310M100US22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area","2327","199392",
"310M100US22300","Findlay, OH Micro Area","547","33176",
"310M100US22380","Flagstaff, AZ Metro Area","1787","63404",
"310M100US22420","Flint, MI Metro Area","811","192097",
"310M100US22500","Florence, SC Metro Area","701","88988",
"310M100US22520","Florence-Muscle Shoals, AL Metro Area","1497","69585",
"310M100US22540","Fond du Lac, WI Metro Area","683","43919",
"310M100US22580","Forest City, NC Micro Area","218","33890",
"310M100US22660","Fort Collins-Loveland, CO Metro Area","1101","132776",
"310M100US22840","Fort Payne, AL Micro Area","233","31115",
"310M100US22900","Fort Smith, AR-OK Metro Area","1200","129073",
"310M100US23060","Fort Wayne, IN Metro Area","903","178575",
"310M100US23180","Frankfort, KY Micro Area","974","32067",
"310M100US23420","Fresno, CA Metro Area","937","315965",
"310M100US23460","Gadsden, AL Metro Area","342","47470",
"310M100US23540","Gainesville, FL Metro Area","2318","120595",
"310M100US23580","Gainesville, GA Metro Area","480","68852",
"310M100US23660","Galesburg, IL Micro Area","1432","31368",
"310M100US23700","Gallup, NM Micro Area","202","25817",
"310M100US23900","Gettysburg, PA Micro Area","968","40848",
"310M100US24020","Glens Falls, NY Metro Area","1014","67593",
"310M100US24140","Goldsboro, NC Metro Area","699","52980",
"310M100US24220","Grand Forks, ND-MN Metro Area","1340","44389",
"310M100US24260","Grand Island, NE Micro Area","740","30135",
"310M100US24300","Grand Junction, CO Metro Area","1062","62707",
"310M100US24340","Grand Rapids-Wyoming, MI Metro Area","1791","323734",
"310M100US24420","Grants Pass, OR Micro Area","335","38006",
"310M100US24500","Great Falls, MT Metro Area","603","37309",
"310M100US24540","Greeley, CO Metro Area","1121","96406",
"310M100US24580","Green Bay, WI Metro Area","2878","137350",
"310M100US24620","Greeneville, TN Micro Area","1159","31286",
"310M100US24660","Greensboro-High Point, NC Metro Area","1531","323095",
"310M100US24780","Greenville, NC Metro Area","1346","82814",
"310M100US24860","Greenville-Mauldin-Easley, SC Metro Area","1534","277635",
"310M100US24940","Greenwood, SC Micro Area","548","31058",
"310M100US25020","Guayama, PR Metro Area","1493","38591",
"310M100US25060","Gulfport-Biloxi, MS Metro Area","1380","115635",
"310M100US25180","Hagerstown-Martinsburg, MD-WV Metro Area","1404","115201",
"310M100US25220","Hammond, LA Micro Area","1487","50280",
"310M100US25260","Hanford-Corcoran, CA Metro Area","941","43900",
"310M100US25420","Harrisburg-Carlisle, PA Metro Area","3161","241035",
"310M100US25500","Harrisonburg, VA Metro Area","1053","51231",
"310M100US25540","Hartford-West Hartford-East Hartford, CT Metro Area","1487","507209",
"310M100US25620","Hattiesburg, MS Metro Area","1030","62107",
"310M100US25740","Helena, MT Micro Area","1351","33459",
"310M100US25860","Hickory-Lenoir-Morganton, NC Metro Area","1158","162671",
"310M100US25900","Hilo, HI Micro Area","953","82471",
"310M100US25940","Hilton Head Island-Beaufort, SC Micro Area","1424","103285",
"310M100US25980","Hinesville-Fort Stewart, GA Metro Area","1079","32368",
"310M100US26100","Holland-Grand Haven, MI Metro Area","726","102546",
"310M100US26140","Homosassa Springs, FL Micro Area","298","78092",
"310M100US26180","Honolulu, HI Metro Area","1013","337030",
"310M100US26300","Hot Springs, AR Metro Area","374","50558",
"310M100US26380","Houma-Bayou Cane-Thibodaux, LA Metro Area","658","82608",
"310M100US26420","Houston-Sugar Land-Baytown, TX Metro Area","3037","2314949",
"310M100US26580","Huntington-Ashland, WV-KY-OH Metro Area","968","131118",
"310M100US26620","Huntsville, AL Metro Area","970","182105",
"310M100US26660","Huntsville, TX Micro Area","1386","24068",
"310M100US26740","Hutchinson, KS Micro Area","1005","28604",
"310M100US26820","Idaho Falls, ID Metro Area","976","48963",
"310M100US26860","Indiana, PA Micro Area","706","38247",
"310M100US26900","Indianapolis-Carmel, IN Metro Area","2207","758866",
"310M100US26980","Iowa City, IA Metro Area","1111","65625",
"310M100US27060","Ithaca, NY Metro Area","1464","41687",
"310M100US27100","Jackson, MI Metro Area","575","69449",
