"GEO_ID","NAME","B25001_001E","B25001_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M300US10140","Aberdeen, WA Micro Area","36191","402",
"310M300US10180","Abilene, TX Metro Area","71427","1507",
"310M300US10300","Adrian, MI Micro Area","43806","352",
"310M300US10380","Aguadilla-Isabela, PR Metro Area","145196","2466",
"310M300US10420","Akron, OH Metro Area","315099","831",
"310M300US10460","Alamogordo, NM Micro Area","31733","360",
"310M300US10500","Albany, GA Metro Area","67522","851",
"310M300US10540","Albany, OR Metro Area","50337","237",
"310M300US10580","Albany-Schenectady-Troy, NY Metro Area","408327","1286",
"310M300US10700","Albertville, AL Micro Area","40700","153",
"310M300US10740","Albuquerque, NM Metro Area","389156","1230",
"310M300US10780","Alexandria, LA Metro Area","67516","769",
"310M300US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","349709","988",
"310M300US11020","Altoona, PA Metro Area","56846","482",
"310M300US11100","Amarillo, TX Metro Area","109729","959",
"310M300US11180","Ames, IA Metro Area","39931","589",
"310M300US11260","Anchorage, AK Metro Area","159187","446",
"310M300US11460","Ann Arbor, MI Metro Area","150397","975",
"310M300US11500","Anniston-Oxford-Jacksonville, AL Metro Area","53786","527",
"310M300US11540","Appleton, WI Metro Area","97752","389",
"310M300US11640","Arecibo, PR Metro Area","85321","1794",
"310M300US11700","Asheville, NC Metro Area","228680","1204",
"310M300US11780","Ashtabula, OH Micro Area","46154","313",
"310M300US11900","Athens, OH Micro Area","26671","504",
"310M300US11980","Athens, TX Micro Area","41131","388",
"310M300US12020","Athens-Clarke County, GA Metro Area","85778","1384",
"310M300US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","2299498","2801",
"310M300US12100","Atlantic City-Hammonton, NJ Metro Area","128185","479",
"310M300US12180","Auburn, NY Micro Area","37085","501",
"310M300US12220","Auburn-Opelika, AL Metro Area","68921","418",
"310M300US12260","Augusta-Richmond County, GA-SC Metro Area","259389","1866",
"310M300US12300","Augusta-Waterville, ME Micro Area","62665","302",
"310M300US12420","Austin-Round Rock, TX Metro Area","828696","2677",
"310M300US12540","Bakersfield, CA Metro Area","297873","680",
"310M300US12580","Baltimore-Columbia-Towson, MD Metro Area","1160769","1632",
"310M300US12620","Bangor, ME Metro Area","75864","564",
"310M300US12700","Barnstable Town, MA Metro Area","163520","336",
"310M300US12940","Baton Rouge, LA Metro Area","354367","1118",
"310M300US12980","Battle Creek, MI Metro Area","60843","623",
"310M300US13020","Bay City, MI Metro Area","48321","233",
"310M300US13140","Beaumont-Port Arthur, TX Metro Area","177764","1912",
"310M300US13180","Beaver Dam, WI Micro Area","37735","323",
"310M300US13220","Beckley, WV Metro Area","57712","416",
"310M300US13380","Bellingham, WA Metro Area","96626","454",
"310M300US13460","Bend-Redmond, OR Metro Area","88999","288",
"310M300US13740","Billings, MT Metro Area","78744","694",
"310M300US13780","Binghamton, NY Metro Area","113493","800",
"310M300US13820","Birmingham-Hoover, AL Metro Area","517069","1547",
"310M300US13900","Bismarck, ND Metro Area","60379","379",
"310M300US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","79833","1653",
"310M300US14010","Bloomington, IL Metro Area","79635","725",
"310M300US14020","Bloomington, IN Metro Area","71304","1075",
"310M300US14100","Bloomsburg-Berwick, PA Metro Area","38398","485",
"310M300US14140","Bluefield, WV-VA Micro Area","50778","306",
"310M300US14260","Boise City, ID Metro Area","275074","1490",
"310M300US14460","Boston-Cambridge-Newton, MA-NH Metro Area","1955479","1594",
"310M300US14500","Boulder, CO Metro Area","135931","688",
"310M300US14540","Bowling Green, KY Metro Area","75174","1552",
"310M300US14580","Bozeman, MT Micro Area","49452","269",
