"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"310M700US10140","Aberdeen, WA Micro Area","59619","6181",
"310M700US10180","Abilene, TX Metro Area","63390","7471",
"310M700US10300","Adrian, MI Micro Area","71632","2770",
"310M700US10380","Aguadilla, PR Metro Area","24351","1426",
"310M700US10420","Akron, OH Metro Area","71364","1942",
"310M700US10460","Alamogordo, NM Micro Area","56354","7148",
"310M700US10500","Albany, GA Metro Area","56851","4592",
"310M700US10540","Albany, OR Metro Area","80422","7200",
"310M700US10580","Albany-Schenectady-Troy, NY Metro Area","86637","2732",
"310M700US10620","Albemarle, NC Micro Area","59681","7955",
"310M700US10700","Albertville, AL Micro Area","68048","8090",
"310M700US10740","Albuquerque, NM Metro Area","76097","2523",
"310M700US10780","Alexandria, LA Metro Area","55909","4241",
"310M700US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","83974","2520",
"310M700US11020","Altoona, PA Metro Area","66994","4540",
"310M700US11100","Amarillo, TX Metro Area","69595","2928",
"310M700US11180","Ames, IA Metro Area","70873","5731",
"310M700US11200","Amherst Town-Northampton, MA Metro Area","81732","6643",
"310M700US11260","Anchorage, AK Metro Area","102698","4241",
"310M700US11360","Anderson Creek, NC Micro Area","73391","4823",
"310M700US11460","Ann Arbor, MI Metro Area","90523","3421",
"310M700US11500","Anniston-Oxford, AL Metro Area","52719","2868",
"310M700US11540","Appleton, WI Metro Area","82501","4039",
"310M700US11640","Arecibo, PR Metro Area","23466","2481",
"310M700US11700","Asheville, NC Metro Area","76275","5775",
"310M700US11940","Athens, TN Micro Area","60717","4429",
"310M700US11980","Athens, TX Micro Area","61275","4568",
"310M700US12020","Athens-Clarke County, GA Metro Area","64951","5723",
"310M700US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","92344","963",
"310M700US12100","Atlantic City-Hammonton, NJ Metro Area","80806","4049",
"310M700US12180","Auburn, NY Micro Area","66799","5121",
"310M700US12220","Auburn-Opelika, AL Metro Area","68336","3984",
"310M700US12260","Augusta-Richmond County, GA-SC Metro Area","72176","2631",
"310M700US12300","Augusta-Waterville, ME Micro Area","75259","4883",
"310M700US12420","Austin-Round Rock-San Marcos, TX Metro Area","99897","2027",
"310M700US12540","Bakersfield-Delano, CA Metro Area","71596","2131",
"310M700US12580","Baltimore-Columbia-Towson, MD Metro Area","98666","2168",
"310M700US12620","Bangor, ME Metro Area","66506","5327",
"310M700US12660","Baraboo, WI Micro Area","76642","4325",
"310M700US12700","Barnstable Town, MA Metro Area","87925","5350",
"310M700US12940","Baton Rouge, LA Metro Area","69293","3794",
"310M700US12980","Battle Creek, MI Metro Area","65024","3463",
"310M700US13020","Bay City, MI Metro Area","64694","4668",
"310M700US13140","Beaumont-Port Arthur, TX Metro Area","65775","5114",
"310M700US13180","Beaver Dam, WI Micro Area","78548","3719",
"310M700US13220","Beckley, WV Metro Area","51327","3645",
"310M700US13380","Bellingham, WA Metro Area","86162","7154",
"310M700US13460","Bend, OR Metro Area","95979","4901",
"310M700US13740","Billings, MT Metro Area","77770","4052",
"310M700US13780","Binghamton, NY Metro Area","65599","4510",
"310M700US13820","Birmingham, AL Metro Area","74954","2312",
