"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"310M100US10140","Aberdeen, WA Micro Area","2812","40019",
"310M100US10180","Abilene, TX Metro Area","2574","40630",
"310M100US10300","Adrian, MI Micro Area","2528","45563",
"310M100US10380","Aguadilla-Isabela-San Sebasti?n, PR Metro Area","923","14313",
"310M100US10420","Akron, OH Metro Area","1212","46521",
"310M100US10500","Albany, GA Metro Area","4118","34002",
"310M100US10540","Albany-Lebanon, OR Micro Area","2653","42900",
"310M100US10580","Albany-Schenectady-Troy, NY Metro Area","1459","55796",
"310M100US10700","Albertville, AL Micro Area","2920","39343",
"310M100US10740","Albuquerque, NM Metro Area","1494","47383",
"310M100US10780","Alexandria, LA Metro Area","4085","40017",
"310M100US10880","Allegan, MI Micro Area","2290","44847",
"310M100US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","1247","55630",
"310M100US11020","Altoona, PA Metro Area","3896","42990",
"310M100US11100","Amarillo, TX Metro Area","1819","46390",
"310M100US11180","Ames, IA Metro Area","2922","48034",
"310M100US11260","Anchorage, AK Metro Area","2588","71490",
"310M100US11300","Anderson, IN Metro Area","2106","38772",
"310M100US11340","Anderson, SC Metro Area","3444","36770",
"310M100US11460","Ann Arbor, MI Metro Area","2321","55880",
"310M100US11500","Anniston-Oxford, AL Metro Area","3304","36675",
"310M100US11540","Appleton, WI Metro Area","2277","55883",
"310M100US11700","Asheville, NC Metro Area","1873","42168",
"310M100US11780","Ashtabula, OH Micro Area","3551","38751",
"310M100US11980","Athens, TX Micro Area","2705","36570",
"310M100US12020","Athens-Clarke County, GA Metro Area","2642","40391",
"310M100US12060","Atlanta-Sandy Springs-Marietta, GA Metro Area","830","53182",
"310M100US12100","Atlantic City-Hammonton, NJ Metro Area","2906","52571",
"310M100US12180","Auburn, NY Micro Area","1891","49136",
"310M100US12220","Auburn-Opelika, AL Metro Area","3294","39381",
"310M100US12260","Augusta-Richmond County, GA-SC Metro Area","2737","44477",
"310M100US12300","Augusta-Waterville, ME Micro Area","3781","44964",
"310M100US12420","Austin-Round Rock-San Marcos, TX Metro Area","996","55744",
"310M100US12540","Bakersfield-Delano, CA Metro Area","2036","45524",
"310M100US12580","Baltimore-Towson, MD Metro Area","1116","64812",
"310M100US12620","Bangor, ME Metro Area","3302","42964",
"310M100US12700","Barnstable Town, MA Metro Area","3372","55294",
"310M100US12940","Baton Rouge, LA Metro Area","1690","48294",
"310M100US12980","Battle Creek, MI Metro Area","2705","42921",
"310M100US13020","Bay City, MI Metro Area","3876","45451",
"310M100US13140","Beaumont-Port Arthur, TX Metro Area","1786","41291",
"310M100US13180","Beaver Dam, WI Micro Area","2738","50797",
"310M100US13220","Beckley, WV Micro Area","5578","37982",
"310M100US13380","Bellingham, WA Metro Area","2873","49938",
"310M100US13460","Bend, OR Metro Area","3893","44680",
"310M100US13740","Billings, MT Metro Area","3538","47968",
"310M100US13780","Binghamton, NY Metro Area","2363","45959",
"310M100US13820","Birmingham-Hoover, AL Metro Area","1488","44216",
"310M100US13900","Bismarck, ND Metro Area","4641","53403",
"310M100US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","3580","40127",
"310M100US14020","Bloomington, IN Metro Area","2665","38143",
"310M100US14060","Bloomington-Normal, IL Metro Area","4343","59588",
"310M100US14100","Bloomsburg-Berwick, PA Micro Area","3469","42729",
"310M100US14140","Bluefield, WV-VA Micro Area","2738","31841",
"310M100US14260","Boise City-Nampa, ID Metro Area","1376","47237",
"310M100US14460","Boston-Cambridge-Quincy, MA-NH Metro Area","1046","68020",
"310M100US14500","Boulder, CO Metro Area","2132","61859",
"310M100US14540","Bowling Green, KY Metro Area","3908","39092",
"310M100US14580","Bozeman, MT Micro Area","2850","49506",
"310M100US14660","Brainerd, MN Micro Area","2862","44028",
"310M100US14700","Branson, MO Micro Area","2240","35897",
"310M100US14740","Bremerton-Silverdale, WA Metro Area","3313","56303",
"310M100US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","2807","74831",
"310M100US15180","Brownsville-Harlingen, TX Metro Area","1683","31736",
"310M100US15260","Brunswick, GA Metro Area","4218","39066",
"310M100US15380","Buffalo-Niagara Falls, NY Metro Area","1049","46420",
"310M100US15500","Burlington, NC Metro Area","2232","41058",
"310M100US15540","Burlington-South Burlington, VT Metro Area","2838","54738",
"310M100US15940","Canton-Massillon, OH Metro Area","1276","42365",
"310M100US15980","Cape Coral-Fort Myers, FL Metro Area","1737","43936",
"310M100US16020","Cape Girardeau-Jackson, MO-IL Metro Area","2002","41288",
"310M100US16180","Carson City, NV Metro Area","7410","52414",
"310M100US16220","Casper, WY Metro Area","2682","51735",
"310M100US16300","Cedar Rapids, IA Metro Area","2509","53755",
"310M100US16500","Centralia, WA Micro Area","3199","38643",
"310M100US16540","Chambersburg, PA Micro Area","2060","49514",
"310M100US16580","Champaign-Urbana, IL Metro Area","2367","45845",
"310M100US16620","Charleston, WV Metro Area","1959","43922",
"310M100US16700","Charleston-North Charleston-Summerville, SC Metro Area","1677","48062",
"310M100US16740","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","831","50449",
"310M100US16820","Charlottesville, VA Metro Area","2871","56808",
"310M100US16860","Chattanooga, TN-GA Metro Area","1917","42288",
"310M100US16940","Cheyenne, WY Metro Area","3565","48784",
"310M100US16980","Chicago-Joliet-Naperville, IL-IN-WI Metro Area","450","57104",
"310M100US17020","Chico, CA Metro Area","2238","41657",
"310M100US17060","Chillicothe, OH Micro Area","2878","40811",
"310M100US17140","Cincinnati-Middletown, OH-KY-IN Metro Area","798","51572",
"310M100US17220","Clarksburg, WV Micro Area","4702","38866",
"310M100US17300","Clarksville, TN-KY Metro Area","2040","42262",
"310M100US17340","Clearlake, CA Micro Area","4701","34910",
"310M100US17420","Cleveland, TN Metro Area","3326","37193",
"310M100US17460","Cleveland-Elyria-Mentor, OH Metro Area","744","46231",
"310M100US17620","Coamo, PR Micro Area","1893","15902",
"310M100US17660","Coeur d'Alene, ID Metro Area","3504","42316",
"310M100US17780","College Station-Bryan, TX Metro Area","2078","35961",
"310M100US17820","Colorado Springs, CO Metro Area","877","51683",
"310M100US17860","Columbia, MO Metro Area","2077","40853",
"310M100US17900","Columbia, SC Metro Area","1315","45929",
"310M100US17940","Columbia, TN Micro Area","3266","45435",
"310M100US17980","Columbus, GA-AL Metro Area","1494","36553",
"310M100US18020","Columbus, IN Metro Area","6053","47192",
"310M100US18140","Columbus, OH Metro Area","713","51039",
"310M100US18180","Concord, NH Micro Area","2229","61310",
"310M100US18260","Cookeville, TN Micro Area","3198","34208",
"310M100US18300","Coos Bay, OR Micro Area","3551","35955",
"310M100US18500","Corning, NY Micro Area","2573","45995",
"310M100US18580","Corpus Christi, TX Metro Area","2399","41994",
"310M100US18700","Corvallis, OR Metro Area","5983","45913",
"310M100US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","2532","51529",
"310M100US18980","Cullman, AL Micro Area","4997","35786",
"310M100US19060","Cumberland, MD-WV Metro Area","3602","34847",
"310M100US19100","Dallas-Fort Worth-Arlington, TX Metro Area","761","54449",
"310M100US19140","Dalton, GA Metro Area","3973","39476",
"310M100US19180","Danville, IL Metro Area","1981","38167",
"310M100US19260","Danville, VA Metro Area","3126","35964",
"310M100US19300","Daphne-Fairhope-Foley, AL Micro Area","2902","47502",
"310M100US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","1263","46310",
"310M100US19380","Dayton, OH Metro Area","1179","43832",
"310M100US19460","Decatur, AL Metro Area","4474","42172",
"310M100US19500","Decatur, IL Metro Area","2829","40919",
"310M100US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","1532","41556",
"310M100US19740","Denver-Aurora-Broomfield, CO Metro Area","1380","58732",
"310M100US19780","Des Moines-West Des Moines, IA Metro Area","1978","54685",
"310M100US19820","Detroit-Warren-Livonia, MI Metro Area","617","48198",
"310M100US20020","Dothan, AL Metro Area","1792","38638",
"310M100US20100","Dover, DE Metro Area","5424","54617",
"310M100US20180","DuBois, PA Micro Area","3282","36331",
"310M100US20220","Dubuque, IA Metro Area","2537","49776",
"310M100US20260","Duluth, MN-WI Metro Area","1319","42083",
"310M100US20380","Dunn, NC Micro Area","3886","39584",
"310M100US20500","Durham-Chapel Hill, NC Metro Area","2419","47982",
"310M100US20620","East Liverpool-Salem, OH Micro Area","2946","35909",
"310M100US20700","East Stroudsburg, PA Micro Area","6443","54549",
"310M100US20740","Eau Claire, WI Metro Area","2730","44086",
"310M100US20940","El Centro, CA Metro Area","3590","41802",
"310M100US21060","Elizabethtown, KY Metro Area","2647","42363",
"310M100US21140","Elkhart-Goshen, IN Metro Area","1678","41748",
"310M100US21300","Elmira, NY Metro Area","2895","47643",
"310M100US21340","El Paso, TX Metro Area","1127","36015",
"310M100US21460","Enterprise-Ozark, AL Micro Area","2397","40886",
"310M100US21500","Erie, PA Metro Area","1850","42519",
"310M100US21660","Eugene-Springfield, OR Metro Area","1447","40276",
"310M100US21700","Eureka-Arcata-Fortuna, CA Micro Area","2268","38492",
"310M100US21780","Evansville, IN-KY Metro Area","2213","44319",
"310M100US21820","Fairbanks, AK Metro Area","3557","60785",
"310M100US21940","Fajardo, PR Metro Area","1866","18966",
"310M100US22020","Fargo, ND-MN Metro Area","2652","50088",
"310M100US22100","Farmington, MO Micro Area","3675","33428",
"310M100US22140","Farmington, NM Metro Area","4116","45127",
"310M100US22180","Fayetteville, NC Metro Area","1745","43458",
"310M100US22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area","2550","45101",
"310M100US22300","Findlay, OH Micro Area","4571","50150",
"310M100US22380","Flagstaff, AZ Metro Area","2888","42130",
"310M100US22420","Flint, MI Metro Area","1835","38819",
"310M100US22500","Florence, SC Metro Area","1978","37590",
"310M100US22520","Florence-Muscle Shoals, AL Metro Area","2752","37638",
"310M100US22540","Fond du Lac, WI Metro Area","2846","49718",
"310M100US22580","Forest City, NC Micro Area","3231","35442",
"310M100US22660","Fort Collins-Loveland, CO Metro Area","2587","54154",
"310M100US22840","Fort Payne, AL Micro Area","4647","35967",
"310M100US22900","Fort Smith, AR-OK Metro Area","1540","37992",
"310M100US23060","Fort Wayne, IN Metro Area","1629","47004",
"310M100US23180","Frankfort, KY Micro Area","5169","45939",
"310M100US23420","Fresno, CA Metro Area","1197","45221",
"310M100US23460","Gadsden, AL Metro Area","2125","35897",
"310M100US23540","Gainesville, FL Metro Area","2819","40274",
"310M100US23580","Gainesville, GA Metro Area","2277","47002",
"310M100US23660","Galesburg, IL Micro Area","3806","39110",
"310M100US23700","Gallup, NM Micro Area","2936","29369",
"310M100US23900","Gettysburg, PA Micro Area","3557","55652",
"310M100US24020","Glens Falls, NY Metro Area","2420","50936",
"310M100US24140","Goldsboro, NC Metro Area","2598","40787",
"310M100US24220","Grand Forks, ND-MN Metro Area","3019","46057",
"310M100US24260","Grand Island, NE Micro Area","2709","46479",
"310M100US24300","Grand Junction, CO Metro Area","4704","46231",
"310M100US24340","Grand Rapids-Wyoming, MI Metro Area","1093","47040",
"310M100US24420","Grants Pass, OR Micro Area","3783","36626",
"310M100US24500","Great Falls, MT Metro Area","1857","41871",
"310M100US24540","Greeley, CO Metro Area","3577","51956",
"310M100US24580","Green Bay, WI Metro Area","2400","49016",
"310M100US24620","Greeneville, TN Micro Area","4923","35196",
