"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"310M300US10140","Aberdeen, WA Micro Area","47445","4076",
"310M300US10180","Abilene, TX Metro Area","51130","5173",
"310M300US10300","Adrian, MI Micro Area","56515","4031",
"310M300US10380","Aguadilla-Isabela, PR Metro Area","16645","1332",
"310M300US10420","Akron, OH Metro Area","56106","1430",
"310M300US10460","Alamogordo, NM Micro Area","43887","3383",
"310M300US10500","Albany, GA Metro Area","43614","2575",
"310M300US10540","Albany, OR Metro Area","51541","3895",
"310M300US10580","Albany-Schenectady-Troy, NY Metro Area","68681","2829",
"310M300US10700","Albertville, AL Micro Area","41476","5921",
"310M300US10740","Albuquerque, NM Metro Area","50906","1273",
"310M300US10780","Alexandria, LA Metro Area","40585","3077",
"310M300US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","63944","1783",
"310M300US11020","Altoona, PA Metro Area","45957","2207",
"310M300US11100","Amarillo, TX Metro Area","53922","2296",
"310M300US11180","Ames, IA Metro Area","60351","8380",
"310M300US11260","Anchorage, AK Metro Area","76871","4516",
"310M300US11460","Ann Arbor, MI Metro Area","70286","2695",
"310M300US11500","Anniston-Oxford-Jacksonville, AL Metro Area","46763","3173",
"310M300US11540","Appleton, WI Metro Area","65990","1793",
"310M300US11640","Arecibo, PR Metro Area","16624","2091",
"310M300US11700","Asheville, NC Metro Area","50015","1645",
"310M300US11780","Ashtabula, OH Micro Area","44173","4775",
"310M300US11900","Athens, OH Micro Area","44247","6280",
"310M300US11980","Athens, TX Micro Area","44971","6416",
"310M300US12020","Athens-Clarke County, GA Metro Area","46521","3884",
"310M300US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","65381","760",
"310M300US12100","Atlantic City-Hammonton, NJ Metro Area","61777","4761",
"310M300US12180","Auburn, NY Micro Area","56599","3700",
