"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"310M100US10140","Aberdeen, WA Micro Area","*****","72882",
"310M100US10180","Abilene, TX Metro Area","1357","164941",
"310M100US10300","Adrian, MI Micro Area","*****","99763",
"310M100US10380","Aguadilla-Isabela-San Sebasti?n, PR Metro Area","*****","305988",
"310M100US10420","Akron, OH Metro Area","*****","702951",
"310M100US10500","Albany, GA Metro Area","3204","162659",
"310M100US10540","Albany-Lebanon, OR Micro Area","*****","116910",
"310M100US10580","Albany-Schenectady-Troy, NY Metro Area","*****","870832",
"310M100US10700","Albertville, AL Micro Area","*****","93235",
"310M100US10740","Albuquerque, NM Metro Area","1834","892014",
"310M100US10780","Alexandria, LA Metro Area","*****","154120",
"310M100US10880","Allegan, MI Micro Area","*****","111503",
"310M100US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","*****","822141",
"310M100US11020","Altoona, PA Metro Area","*****","127031",
"310M100US11100","Amarillo, TX Metro Area","1579","251915",
"310M100US11180","Ames, IA Metro Area","*****","89575",
"310M100US11260","Anchorage, AK Metro Area","*****","382964",
"310M100US11300","Anderson, IN Metro Area","*****","131642",
"310M100US11340","Anderson, SC Metro Area","*****","187269",
"310M100US11460","Ann Arbor, MI Metro Area","*****","345290",
"310M100US11500","Anniston-Oxford, AL Metro Area","*****","118510",
"310M100US11540","Appleton, WI Metro Area","*****","225952",
"310M100US11700","Asheville, NC Metro Area","2047","422752",
"310M100US11780","Ashtabula, OH Micro Area","*****","101429",
"310M100US11980","Athens, TX Micro Area","*****","78647",
"310M100US12020","Athens-Clarke County, GA Metro Area","*****","192738",
"310M100US12060","Atlanta-Sandy Springs-Marietta, GA Metro Area","3963","5288302",
"310M100US12100","Atlantic City-Hammonton, NJ Metro Area","*****","274685",
"310M100US12180","Auburn, NY Micro Area","*****","79978",
"310M100US12220","Auburn-Opelika, AL Metro Area","*****","140780",
"310M100US12260","Augusta-Richmond County, GA-SC Metro Area","2121","560293",
"310M100US12300","Augusta-Waterville, ME Micro Area","*****","122143",
"310M100US12420","Austin-Round Rock-San Marcos, TX Metro Area","*****","1728307",
"310M100US12540","Bakersfield-Delano, CA Metro Area","*****","842207",
"310M100US12580","Baltimore-Towson, MD Metro Area","*****","2714183",
"310M100US12620","Bangor, ME Metro Area","*****","153849",
"310M100US12700","Barnstable Town, MA Metro Area","*****","215937",
"310M100US12940","Baton Rouge, LA Metro Area","*****","804406",
"310M100US12980","Battle Creek, MI Metro Area","*****","136072",
"310M100US13020","Bay City, MI Metro Area","*****","107703",
"310M100US13140","Beaumont-Port Arthur, TX Metro Area","*****","389068",
"310M100US13180","Beaver Dam, WI Micro Area","*****","88748",
"310M100US13220","Beckley, WV Micro Area","*****","78904",
"310M100US13380","Bellingham, WA Metro Area","*****","201628",
"310M100US13460","Bend, OR Metro Area","*****","157894",
"310M100US13740","Billings, MT Metro Area","1482","157365",
"310M100US13780","Binghamton, NY Metro Area","*****","251321",
"310M100US13820","Birmingham-Hoover, AL Metro Area","*****","1128978",
"310M100US13900","Bismarck, ND Metro Area","*****","109266",
"310M100US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","2805","161768",
