"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M600US10140","Aberdeen, WA Micro Area","76841","*****",
"310M600US10180","Abilene, TX Metro Area","178608","2910",
"310M600US10300","Adrian, MI Micro Area","98956","*****",
"310M600US10380","Aguadilla-Isabela, PR Metro Area","309515","3633",
"310M600US10420","Akron, OH Metro Area","700015","*****",
"310M600US10460","Alamogordo, NM Micro Area","68537","*****",
"310M600US10500","Albany, GA Metro Area","146961","1334",
"310M600US10540","Albany-Lebanon, OR Metro Area","129839","*****",
"310M600US10580","Albany-Schenectady-Troy, NY Metro Area","899286","*****",
"310M600US10700","Albertville, AL Micro Area","98228","*****",
"310M600US10740","Albuquerque, NM Metro Area","921311","3332",
"310M600US10780","Alexandria, LA Metro Area","150890","*****",
"310M600US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","865310","*****",
"310M600US11020","Altoona, PA Metro Area","121767","*****",
"310M600US11100","Amarillo, TX Metro Area","270119","2138",
"310M600US11180","Ames, IA Metro Area","126195","*****",
"310M600US11260","Anchorage, AK Metro Area","398807","*****",
"310M600US11460","Ann Arbor, MI Metro Area","369390","*****",
"310M600US11500","Anniston-Oxford, AL Metro Area","115972","*****",
"310M600US11540","Appleton, WI Metro Area","244084","*****",
"310M600US11640","Arecibo, PR Metro Area","182014","*****",
"310M600US11700","Asheville, NC Metro Area","472341","*****",
"310M600US11780","Ashtabula, OH Micro Area","97337","*****",
"310M600US11980","Athens, TX Micro Area","83667","*****",
"310M600US12020","Athens-Clarke County, GA Metro Area","217382","2431",
"310M600US12060","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","6144970","3130",
"310M600US12100","Atlantic City-Hammonton, NJ Metro Area","274966","*****",
"310M600US12180","Auburn, NY Micro Area","75880","*****",
"310M600US12220","Auburn-Opelika, AL Metro Area","177218","*****",
"310M600US12260","Augusta-Richmond County, GA-SC Metro Area","616395","2280",
"310M600US12300","Augusta-Waterville, ME Micro Area","124486","*****",
"310M600US12420","Austin-Round Rock-Georgetown, TX Metro Area","2352426","*****",
"310M600US12540","Bakersfield, CA Metro Area","917673","*****",
"310M600US12580","Baltimore-Columbia-Towson, MD Metro Area","2838327","*****",
"310M600US12620","Bangor, ME Metro Area","152765","*****",
"310M600US12660","Baraboo, WI Micro Area","65697","*****",
"310M600US12700","Barnstable Town, MA Metro Area","232411","*****",
"310M600US12940","Baton Rouge, LA Metro Area","871905","*****",
"310M600US12980","Battle Creek, MI Metro Area","133819","*****",
"310M600US13020","Bay City, MI Metro Area","102985","*****",
"310M600US13140","Beaumont-Port Arthur, TX Metro Area","395419","*****",
"310M600US13180","Beaver Dam, WI Micro Area","89313","*****",
"310M600US13220","Beckley, WV Metro Area","113698","*****",
"310M600US13380","Bellingham, WA Metro Area","228831","*****",
"310M600US13460","Bend, OR Metro Area","204801","*****",
"310M600US13740","Billings, MT Metro Area","187037","*****",
"310M600US13780","Binghamton, NY Metro Area","245220","*****",
"310M600US13820","Birmingham-Hoover, AL Metro Area","1114262","*****",
"310M600US13900","Bismarck, ND Metro Area","134028","549",
"310M600US13980","Blacksburg-Christiansburg, VA Metro Area","168404","2949",
"310M600US14010","Bloomington, IL Metro Area","170889","*****",
"310M600US14020","Bloomington, IN Metro Area","161321","*****",
"310M600US14100","Bloomsburg-Berwick, PA Metro Area","82959","*****",
"310M600US14140","Bluefield, WV-VA Micro Area","104994","1574",
"310M600US14260","Boise City, ID Metro Area","801470","3815",
"310M600US14460","Boston-Cambridge-Newton, MA-NH Metro Area","4899932","*****",
"310M600US14500","Boulder, CO Metro Area","329543","*****",
"310M600US14540","Bowling Green, KY Metro Area","186107","2311",
