GEO_ID,NAME,year,housing_units,housing_units_moe,median_household_income,median_household_income_moe,total_population,total_population_moe
310M100US10140,"Aberdeen, WA Micro Area",2010,35179,446,40019,2812,72882,*****
310M100US10180,"Abilene, TX Metro Area",2010,69711,1296,40630,2574,164941,1357
310M100US10300,"Adrian, MI Micro Area",2010,43445,701,45563,2528,99763,*****
310M100US10380,"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2010,143248,2349,14313,923,305988,*****
310M100US10420,"Akron, OH Metro Area",2010,312600,1589,46521,1212,702951,*****
310M100US10500,"Albany, GA Metro Area",2010,67169,2099,34002,4118,162659,3204
310M100US10540,"Albany-Lebanon, OR Micro Area",2010,48840,168,42900,2653,116910,*****
310M100US10580,"Albany-Schenectady-Troy, NY Metro Area",2010,393443,1952,55796,1459,870832,*****
310M100US10700,"Albertville, AL Micro Area",2010,40345,403,39343,2920,93235,*****
310M100US10740,"Albuquerque, NM Metro Area",2010,374674,1812,47383,1494,892014,1834
310M100US10780,"Alexandria, LA Metro Area",2010,65195,2078,40017,4085,154120,*****
310M100US10880,"Allegan, MI Micro Area",2010,49435,304,44847,2290,111503,*****
310M100US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2010,342432,3627,55630,1247,822141,*****
310M100US11020,"Altoona, PA Metro Area",2010,56277,667,42990,3896,127031,*****
310M100US11100,"Amarillo, TX Metro Area",2010,103039,1077,46390,1819,251915,1579
310M100US11180,"Ames, IA Metro Area",2010,36801,827,48034,2922,89575,*****
310M100US11260,"Anchorage, AK Metro Area",2010,154449,1153,71490,2588,382964,*****
310M100US11300,"Anderson, IN Metro Area",2010,59054,630,38772,2106,131642,*****
310M100US11340,"Anderson, SC Metro Area",2010,84786,1547,36770,3444,187269,*****
310M100US11460,"Ann Arbor, MI Metro Area",2010,147565,2029,55880,2321,345290,*****
310M100US11500,"Anniston-Oxford, AL Metro Area",2010,53321,960,36675,3304,118510,*****
310M100US11540,"Appleton, WI Metro Area",2010,92928,614,55883,2277,225952,*****
310M100US11700,"Asheville, NC Metro Area",2010,213900,1589,42168,1873,422752,2047
310M100US11780,"Ashtabula, OH Micro Area",2010,46089,346,38751,3551,101429,*****
310M100US11980,"Athens, TX Micro Area",2010,39615,277,36570,2705,78647,*****
310M100US12020,"Athens-Clarke County, GA Metro Area",2010,80741,2387,40391,2642,192738,*****
310M100US12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2010,2168806,4582,53182,830,5288302,3963
310M100US12100,"Atlantic City-Hammonton, NJ Metro Area",2010,126723,861,52571,2906,274685,*****
310M100US12180,"Auburn, NY Micro Area",2010,36478,573,49136,1891,79978,*****
310M100US12220,"Auburn-Opelika, AL Metro Area",2010,62660,728,39381,3294,140780,*****
310M100US12260,"Augusta-Richmond County, GA-SC Metro Area",2010,238681,2783,44477,2737,560293,2121
310M100US12300,"Augusta-Waterville, ME Micro Area",2010,61015,505,44964,3781,122143,*****
310M100US12420,"Austin-Round Rock-San Marcos, TX Metro Area",2010,708643,4524,55744,996,1728307,*****
310M100US12540,"Bakersfield-Delano, CA Metro Area",2010,284674,1213,45524,2036,842207,*****
310M100US12580,"Baltimore-Towson, MD Metro Area",2010,1133012,2123,64812,1116,2714183,*****
310M100US12620,"Bangor, ME Metro Area",2010,73909,847,42964,3302,153849,*****
310M100US12700,"Barnstable Town, MA Metro Area",2010,160313,787,55294,3372,215937,*****
310M100US12940,"Baton Rouge, LA Metro Area",2010,331391,2263,48294,1690,804406,*****
310M100US12980,"Battle Creek, MI Metro Area",2010,61009,719,42921,2705,136072,*****
310M100US13020,"Bay City, MI Metro Area",2010,48200,576,45451,3876,107703,*****
310M100US13140,"Beaumont-Port Arthur, TX Metro Area",2010,163179,2525,41291,1786,389068,*****
310M100US13180,"Beaver Dam, WI Micro Area",2010,36985,1853,50797,2738,88748,*****
310M100US13220,"Beckley, WV Micro Area",2010,35956,698,37982,5578,78904,*****
310M100US13380,"Bellingham, WA Metro Area",2010,90728,875,49938,2873,201628,*****
310M100US13460,"Bend, OR Metro Area",2010,80187,323,44680,3893,157894,*****
310M100US13740,"Billings, MT Metro Area",2010,70567,1526,47968,3538,157365,1482
310M100US13780,"Binghamton, NY Metro Area",2010,112753,1231,45959,2363,251321,*****
310M100US13820,"Birmingham-Hoover, AL Metro Area",2010,502776,1931,44216,1488,1128978,*****
310M100US13900,"Bismarck, ND Metro Area",2010,47945,528,53403,4641,109266,*****
310M100US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2010,69941,2327,40127,3580,161768,2805
310M100US14020,"Bloomington, IN Metro Area",2010,83876,1628,38143,2665,192696,2120
310M100US14060,"Bloomington-Normal, IL Metro Area",2010,69749,923,59588,4343,169832,*****
310M100US14100,"Bloomsburg-Berwick, PA Micro Area",2010,37521,911,42729,3469,85554,*****
310M100US14140,"Bluefield, WV-VA Micro Area",2010,50951,699,31841,2738,107360,*****
310M100US14260,"Boise City-Nampa, ID Metro Area",2010,246324,1787,47237,1376,619694,3025
310M100US14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2010,1883591,2881,68020,1046,4560689,*****
310M100US14500,"Boulder, CO Metro Area",2010,127115,1807,61859,2132,295166,*****
310M100US14540,"Bowling Green, KY Metro Area",2010,53998,804,39092,3908,127280,1739
310M100US14580,"Bozeman, MT Micro Area",2010,41330,1354,49506,2850,89658,*****
310M100US14660,"Brainerd, MN Micro Area",2010,65143,614,44028,2862,91146,*****
310M100US14700,"Branson, MO Micro Area",2010,48676,962,35897,2240,84065,*****
310M100US14740,"Bremerton-Silverdale, WA Metro Area",2010,107465,2281,56303,3313,251809,*****
310M100US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2010,361355,1420,74831,2807,918714,*****
310M100US15180,"Brownsville-Harlingen, TX Metro Area",2010,142168,571,31736,1683,408054,*****
310M100US15260,"Brunswick, GA Metro Area",2010,57505,1722,39066,4218,107890,2310
310M100US15380,"Buffalo-Niagara Falls, NY Metro Area",2010,519128,1923,46420,1049,1135198,*****
310M100US15500,"Burlington, NC Metro Area",2010,66672,888,41058,2232,151528,*****
310M100US15540,"Burlington-South Burlington, VT Metro Area",2010,92323,839,54738,2838,211035,871
310M100US15940,"Canton-Massillon, OH Metro Area",2010,178849,1404,42365,1276,403238,2128
310M100US15980,"Cape Coral-Fort Myers, FL Metro Area",2010,371145,1268,43936,1737,620151,*****
310M100US16020,"Cape Girardeau-Jackson, MO-IL Metro Area",2010,41928,1148,41288,2002,98062,2286
310M100US16180,"Carson City, NV Metro Area",2010,23529,633,52414,7410,55226,*****
310M100US16220,"Casper, WY Metro Area",2010,33892,327,51735,2682,75507,*****
310M100US16300,"Cedar Rapids, IA Metro Area",2010,112481,1009,53755,2509,258223,*****
310M100US16500,"Centralia, WA Micro Area",2010,34081,314,38643,3199,75487,*****
310M100US16540,"Chambersburg, PA Micro Area",2010,63324,703,49514,2060,149834,*****
310M100US16580,"Champaign-Urbana, IL Metro Area",2010,101358,2928,45845,2367,234445,2666
310M100US16620,"Charleston, WV Metro Area",2010,141910,1204,43922,1959,304571,1951
310M100US16700,"Charleston-North Charleston-Summerville, SC Metro Area",2010,299134,1353,48062,1677,667741,*****
310M100US16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2010,741184,2128,50449,831,1764313,*****
310M100US16820,"Charlottesville, VA Metro Area",2010,89335,3479,56808,2871,199776,4115
310M100US16860,"Chattanooga, TN-GA Metro Area",2010,234356,1872,42288,1917,530205,4235
310M100US16940,"Cheyenne, WY Metro Area",2010,40536,384,48784,3565,92127,*****
310M100US16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2010,3796750,3851,57104,450,9474211,1689
310M100US17020,"Chico, CA Metro Area",2010,95867,972,41657,2238,220072,*****
310M100US17060,"Chillicothe, OH Micro Area",2010,32150,401,40811,2878,78090,*****
310M100US17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2010,918007,3400,51572,798,2133203,2278
310M100US17220,"Clarksburg, WV Micro Area",2010,42134,1193,38866,4702,95616,2374
310M100US17300,"Clarksville, TN-KY Metro Area",2010,114033,2990,42262,2040,274695,2375
310M100US17340,"Clearlake, CA Micro Area",2010,35481,17,34910,4701,64771,*****
310M100US17420,"Cleveland, TN Metro Area",2010,49485,1130,37193,3326,115716,2488
310M100US17460,"Cleveland-Elyria-Mentor, OH Metro Area",2010,955798,3149,46231,744,2075758,*****
310M100US17620,"Coamo, PR Micro Area",2010,30967,1083,15902,1893,71492,*****
310M100US17660,"Coeur d'Alene, ID Metro Area",2010,63348,32,42316,3504,138901,*****
310M100US17780,"College Station-Bryan, TX Metro Area",2010,94350,1828,35961,2078,230141,3118
310M100US17820,"Colorado Springs, CO Metro Area",2010,264602,1135,51683,877,648943,1957
310M100US17860,"Columbia, MO Metro Area",2010,73649,1225,40853,2077,172319,1702
310M100US17900,"Columbia, SC Metro Area",2010,331865,2433,45929,1315,770410,2185
310M100US17940,"Columbia, TN Micro Area",2010,35305,486,45435,3266,81141,*****
310M100US17980,"Columbus, GA-AL Metro Area",2010,127486,2729,36553,1494,292141,4012
310M100US18020,"Columbus, IN Metro Area",2010,33105,726,47192,6053,76855,*****
310M100US18140,"Columbus, OH Metro Area",2010,793030,2418,51039,713,1840631,*****
310M100US18180,"Concord, NH Micro Area",2010,63557,944,61310,2229,146400,*****
310M100US18260,"Cookeville, TN Micro Area",2010,47941,1782,34208,3198,105761,3313
310M100US18300,"Coos Bay, OR Micro Area",2010,30189,1579,35955,3551,63025,*****
310M100US18500,"Corning, NY Micro Area",2010,48861,497,45995,2573,98930,*****
